name,address,평점
카페겟앤쇼 공덕점,서울 마포구 도화동 572,4.8점
설빙 마포공덕점,서울 마포구 도화동 179-11,2.8점
일야커피,서울 마포구 염리동 172-1,4.3점
이디야커피 마포공덕역점,서울 마포구 도화동 181-39,2.3점
경성커피,서울 마포구 도화동 201-43,4.9점
비파티세리 공덕점,서울 마포구 공덕동 105-67,4.2점
빽다방 공덕역새창로점,서울 마포구 도화동 25-5,4.3점
비로소커피,서울 마포구 신수동 85-19,3.9점
메가MGC커피 공덕SK리더스뷰점,서울 마포구 공덕동 426-15,2.6점
브랑쿠시,서울 용산구 용문동 28-65,3.4점
뜨랑블랑,서울 마포구 마포동 236-5,
투썸플레이스 공덕풍림빌딩점,서울 마포구 공덕동 404,3.9점
영앤도터스,서울 마포구 공덕동 475,3.9점
할리스 공덕경의선숲길점,서울 마포구 염리동 164-1,3.4점
채그로카페,서울 마포구 마포동 388-5,3.3점
커피향깊은그한옥,서울 마포구 염리동 157-12,3.6점
마포나루 스페이스,서울 마포구 마포동 450,2.5점
아이엠베이글 공덕점,서울 마포구 공덕동 476,4.4점
빽다방 공덕역롯데캐슬점,서울 마포구 공덕동 467,3.8점
스타벅스 공덕오거리점,서울 마포구 도화동 22,3.4점
스타벅스 마포이마트점,서울 마포구 신공덕동 173,4.6점
프릳츠 도화점,서울 마포구 도화동 179-9,3.9점
브루니치,서울 마포구 공덕동 476,4.9점
스타벅스 마포염리점,서울 마포구 염리동 168-9,4.0점
비엔나커피하우스 마포신한디엠점,서울 마포구 마포동 33-1,4.1점
스타벅스 마포일진빌딩점,서울 마포구 도화동 50-1,3.3점
커파우스,서울 마포구 도화동 183-17,4.9점
투썸플레이스 공덕해링턴스퀘어점,서울 마포구 도화동 25-13,2.4점
후엘고,서울 마포구 염리동 128-8,4.4점
마타사,서울 마포구 도화동 1-352,4.5점
메가MGC커피 마포용강점,서울 마포구 염리동 174-18,3.8점
투썸플레이스 마포대로점,서울 마포구 도화동 573,3.7점
스타벅스 마포용강동점,서울 마포구 용강동 112-2,4.2점
누아네,서울 마포구 대흥동 241-1,4.0점
스타벅스 공덕점,서울 마포구 공덕동 254-8,3.8점
스타벅스 마포아크로점,서울 마포구 도화동 563,3.9점
투썸플레이스 마포공덕점,서울 마포구 공덕동 475,1.8점
메가MGC커피 공덕오거리점,서울 마포구 도화동 181-1,3.1점
포멜로빈 공덕점,서울 마포구 공덕동 478,4.1점
도화아파트먼트 마포,서울 마포구 도화동 346-2,4.1점
투썸플레이스 마포역점,서울 마포구 도화동 37,2.8점
메가MGC커피 서울공덕초교점,서울 마포구 신공덕동 15-15,3.8점
스테이웰카페,서울 마포구 공덕동 476,4.0점
할리스 공덕점,서울 마포구 공덕동 462,2.8점
그로토,서울 마포구 도화동 184-22,4.0점
